text,label
This is a normal comment.,0
Another normal comment.,0
You are a fool!,1
I hate you!,1
Example of abusive comment.,1
Great job!,0
I disagree with your opinion.,0
You are amazing!,0
This is offensive.,1
Nice work!,0
You make me sick!,1
I completely agree with you.,0
You are so stupid!,1
You are talented!,0
You disgust me!,1
Well said!,0
I strongly dislike you!,1
You are an inspiration.,0
I love your work!,0
You are the worst!,1
What a fantastic achievement!,0
You are a disgrace!,1
Keep up the good work!,0
You are pathetic!,1
Your kindness is appreciated.,0
I hope you fail!,1
You are a bully!,1
